Strain Replicate iRep R2 Coverage PercentPass
KBS0707 C 1.63609478529 1.40652884514 0.970090276729 42.5263517509
KBS0707 D 1.60591721876 1.39467583149 0.967441230622 39.2533337399
KBS0710 A 1.32814472698 0.984474574134 29.2226132331 99.98
KBS0710 B 1.3498724948 0.973377874142 27.7363478631 99.98
KBS0710 C 1.40419417492 0.964523822242 12.5851200505 99.96
KBS0710 D 1.58732500097 0.981308022257 2.69931000909 99.86
KBS0711 A 1.27704555951 0.982251715902 40.3635900259 99.98
KBS0711 C 1.3558307122 0.979029436783 45.8878628757 99.98
KBS0711 D 1.34270153604 0.980933421385 44.9296206598 99.98
KBS0711 K 1.37736974972 0.970499354253 54.8151275234 99.98
KBS0711 L 2.5260565756 0.974494972842 324.16216786 99.96
KBS0711 WA 1.48784063421 0.985310897888 42.5222265837 99.98
KBS0711 WB 1.5122047114 0.986002118755 38.0042056009 99.98
KBS0711 WC 1.53612094566 0.984222667803 46.0119020169 99.98
KBS0711 WD 1.45482270557 0.9877021442 26.4232516917 99.98
KBS0712 A 1.56780658857 1.63499986861 0.992234082662 13.3025109812
KBS0712 B 1.63512550883 1.66904769135 0.995924230501 42.7282238931
KBS0712 C 1.55763412463 1.58520599661 0.995305158733 46.1230854198
KBS0712 D 1.5688940127 1.60552170062 0.994494248655 37.8449063266
KBS0713 A 2.08603821999 0.957934053107 22.1740563985 99.99
KBS0713 B 1.28900790394 0.987587911033 48.3844072993 99.98
KBS0713 C 1.5636256793 0.969301798419 47.2110478845 99.98
KBS0715 A 1.55105920713 0.991068454478 45.928901485 99.97
KBS0715 B 1.57354782706 0.988402467175 48.3657089945 99.97
KBS0715 C 1.56973866004 0.987356303516 54.9692838403 99.97
KBS0715 D 1.55275471602 0.986538115461 50.406684718 99.96
KBS0721 A 1.49903916268 0.991393612624 45.3669104617 99.99
KBS0721 B 1.48551568421 0.991719763667 42.6554137129 99.99
KBS0721 C 1.48948848541 0.989456280761 45.9173521783 99.99
KBS0721 D 1.46997415318 0.988603760918 45.9507889943 99.99
KBS0722 A 1.24140209328 0.980133952893 81.2903708854 99.75
KBS0722 B 1.21250950248 0.982362317509 55.2168594692 99.74
KBS0722 C 1.25283578182 0.983092864088 84.4557421436 99.75
KBS0722 D 1.21893239925 0.98401001838 92.7164699633 99.74
KBS0724 A 1.41093862585 0.72267181452 34.5198274251 88.47
KBS0724 B 1.41792009927 0.700458853984 38.705617997 88.52
KBS0724 C 1.39004738065 0.707125012984 34.0813754013 88.42
KBS0724 D 1.39595360932 0.718883694824 31.7509317657 88.42
KBS0727 A 1.39627487499 0.981575718765 29.7056075364 99.98
KBS0727 B 1.37882047744 0.982398168905 33.0834085357 99.98
KBS0727 C 1.38451948307 0.989553423135 32.2347951649 99.98
KBS0727 D 1.39152232877 0.988899621974 34.7782932831 99.98
KBS0801 A 1.99489560377 2.68620373377 0.989637600854 39.3615164381
KBS0801 B 1.85783894643 2.41471465458 0.990727778511 37.565721921
KBS0801 C 1.93809363621 2.60436171594 0.987450917877 33.7051747403
KBS0801 D 2.19009754701 3.48536090513 0.980331003418 16.2841496283
KBS0802 A 1.60934932027 0.89386510331 39.0911556612 99.94
KBS0802 B 1.56719440442 0.871899711843 38.4063964186 99.95
KBS0802 C 1.59332225696 0.8746393915 39.6855394123 99.95
KBS0802 D 1.60455169574 0.866507222174 44.146223935 99.95
KBS0812 A 1.47702968772 0.988210788612 98.606142801 100.0
KBS0812 B 1.52684466783 0.979212151479 64.9128617742 100.0
KBS0812 C 1.54482039063 0.981704923211 105.646984893 100.0
KBS0812 D 1.54761463834 0.97696434847 113.826481008 100.0
