,3a62531.cel,3a636a1.cel,3a6a4b1.cel,3a6b021.cel
200044_at,1498.03459629924,405.063306991116,259.907095044135,145.01516992428
200045_at,861.797222428609,280.178143045733,196.16475214086,104.528946803011
200046_at,978.489883475921,241.982356262106,214.711773016033,149.489967324748
200047_s_at,704.779614492585,208.205247524783,96.5304196792306,28.7321491486453
200048_s_at,1020.67005971919,986.912324910105,311.563581669991,161.396860246893
200049_at,301.089219363626,235.236678275344,360.074496629519,241.422812028608
200050_at,287.701234474149,25.6497698954425,72.1018197785321,29.7707466528185
200051_at,311.905732042978,114.693932410078,83.1338541255796,26.2956203474013
200052_s_at,784.273071729199,49.2574174546847,170.339531927786,74.4518235235169
200053_at,845.290581225772,531.691173116918,332.221948877355,309.173036112281
200054_at,237.042233438927,71.7396499369752,111.054806247659,63.8298184762131
200055_at,1449.94173378675,692.965547421967,287.150122449901,204.835399369752
200056_s_at,191.507035744933,17.7797765425561,21.094859328208,18.3326672016144
200057_s_at,3287.44294540385,603.673950632336,846.631672345788,309.950855852316
200058_s_at,1198.03008548338,434.107382151989,280.374053249751,74.2426274288003
200059_s_at,2363.03798338775,857.434692909368,492.361607388756,135.936637826331
200060_s_at,1276.5223258387,746.408527062366,495.306395533664,146.313135891275
200061_s_at,9782.35819065899,2511.15294273416,2704.96965535244,970.335880840579
200062_s_at,6205.64774670175,2222.64168073876,2067.37645558226,766.120325025703
200063_s_at,5272.4318634648,552.04084228296,874.70018661408,151.379549590134
200064_at,5937.0742651321,1060.70527823524,1412.4066358505,924.019634334501
200065_s_at,3084.20543050416,1634.39171092549,395.563355124309,180.56181457817
200066_at,462.138592978571,45.950986682044,187.656209542829,72.7038341447396
200067_x_at,654.286444042681,412.354770840662,560.463683007408,232.550309134178
200068_s_at,2711.99121158367,1089.02977291564,900.223363686339,625.14148423135
200069_at,226.670135186967,57.8099226904388,29.5759583092289,24.8326430126852
200070_at,236.533175375742,161.194259261135,97.5709953814587,52.5404601672525
200071_at,206.889097833884,42.4125005680896,31.426687153528,24.9608224031727
200072_s_at,1898.69572840371,465.191605503576,141.383952757768,63.1955876914636
200073_s_at,1155.0624832911,144.166024412823,43.9881301108497,36.4413155141807
200074_s_at,3209.20280862663,798.351809726837,538.09356993467,102.724939441884
