strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,1464,D,88,0,5,2
Spo_0A,1512,A,90,0,5,2
Spo_0A,1512,B,92,0,5,2
Spo_0A,1512,C,92,0,5,2
Spo_0A,1512,D,93,0,5,2
Spo_0A,1560,A,99,0,5,2
Spo_0A,1560,B,127,0,5,2
Spo_0A,1560,C,76,0,5,2
Spo_0A,1560,D,89,0,5,2
Spo_0A,1608,A,62,0,5,2
Spo_0A,1608,B,71,0,5,2
Spo_0A,1608,C,83,0,5,2
Spo_0A,1608,D,97,0,5,2
Spo_0A,1656,A,73,0,5,2
Spo_0A,1656,B,68,0,5,2
Spo_0A,1656,C,59,0,5,2
Spo_0A,1656,D,56,0,5,2
Spo_0A,1704,A,67,0,5,2
Spo_0A,1704,B,40,0,5,2
Spo_0A,1704,C,46,0,5,2
Spo_0A,1704,D,45,0,5,2
Spo_0A,1752,A,202,0,4,2
Spo_0A,1752,B,270,0,4,2
Spo_0A,1752,C,235,0,4,2
Spo_0A,1752,D,251,0,4,2
Spo_0A,1800,A,27,0,5,2
Spo_0A,1800,B,36,0,5,2
Spo_0A,1800,C,30,0,5,2
Spo_0A,1800,D,39,0,5,2
Spo_0A,1848,A,30,0,5,2
Spo_0A,1848,B,28,0,5,2
Spo_0A,1848,C,24,0,5,2
Spo_0A,1848,D,26,0,5,2
Spo_0A,1896,A,117,0,4,2
Spo_0A,1896,B,96,0,4,2
Spo_0A,1896,C,126,0,4,2
Spo_0A,1896,D,106,0,4,2
Spo_0A,1944,A,87,0,4,2
Spo_0A,1944,B,107,0,4,2
Spo_0A,1944,C,103,0,4,2
Spo_0A,1944,D,102,0,4,2
Spo_0A,1992,A,120,0,4,2
Spo_0A,1992,B,103,0,4,2
Spo_0A,1992,C,116,0,4,2
Spo_0A,1992,D,132,0,4,2
Spo_0A,2040,A,74,0,4,2
Spo_0A,2040,B,79,0,4,2
Spo_0A,2040,C,97,0,4,2
Spo_0A,2040,D,91,0,4,2
Spo_0A,2088,A,46,0,5,2
Spo_0A,2088,B,52,0,5,2
Spo_0A,2088,C,45,0,5,2
Spo_0A,2088,D,49,0,5,2
Spo_0A,2136,A,284,0,4,2
Spo_0A,2136,B,333,0,4,2
Spo_0A,2136,C,332,0,4,2
Spo_0A,2136,D,338,0,4,2
Spo_0A,2184,A,51,0,5,2
Spo_0A,2184,B,74,0,5,2
Spo_0A,2184,C,68,0,5,2
Spo_0A,2184,D,71,0,5,2
Spo_0A,2232,A,109,0,5,2
Spo_0A,2232,B,125,0,5,2
Spo_0A,2232,C,107,0,5,2
Spo_0A,2232,D,124,0,5,2
Spo_0A,2280,A,83,0,5,2
Spo_0A,2280,B,79,0,5,2
Spo_0A,2280,C,82,0,5,2
Spo_0A,2280,D,82,0,5,2
Spo_0A,2328,A,106,0,5,2
Spo_0A,2328,B,118,0,5,2
Spo_0A,2328,C,90,0,5,2
Spo_0A,2328,D,138,0,5,2
Spo_0A,2376,A,121,0,5,2
Spo_0A,2376,B,111,0,5,2
Spo_0A,2376,C,136,0,5,2
Spo_0A,2376,D,174,0,5,2
Spo_0A,2424,A,115,0,5,2
Spo_0A,2424,B,150,0,5,2
Spo_0A,2424,C,151,0,5,2
Spo_0A,2424,D,184,0,5,2
Spo_0A,2472,A,137,0,5,2
Spo_0A,2472,B,149,0,5,2
Spo_0A,2472,C,176,0,5,2
Spo_0A,2472,D,171,0,5,2
Spo_0A,2520,A,125,0,5,2
Spo_0A,2520,B,131,0,5,2
Spo_0A,2520,C,110,0,5,2
Spo_0A,2520,D,109,0,5,2
Spo_0A,2568,A,90,0,5,2
Spo_0A,2568,B,112,0,5,2
Spo_0A,2568,C,121,0,5,2
