Sample b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
A1 1.26047644031 -1.23823310175 0.339412104814 12.4463373632 -3.05793248084 0.22956936587 0.449254843757 0.229567347447 0.449256862181
A2 1.24829496528 -1.2265187774 0.360828913129 12.0788005097 -2.70396400196 0.204587315032 0.517070511225 0.204584444003 0.517073382254
A3 1.26976069102 -1.23499249308 0.364002439324 12.5437921871 -2.49042113177 0.0992591197526 0.628745758895 0.0992542549426 0.628750623705
A4 1.27524558452 -1.26066278962 0.29033526765 12.8958868563 -2.65766614859 0.157085300873 0.423585234427 0.157082852328 0.423587682971
B1 1.30400180747 -1.28000780202 0.487696183757 12.6261375371 -2.79844153159 -0.115447695547 1.09084006306 -0.115458778661 1.09085114617
B2 1.36050089894 -1.33658168262 0.408425213166 12.5544168026 -2.44220003889 0.0926798603611 0.724170565971 0.0926740583595 0.724176367973
B3 1.31525169786 -1.28920593384 0.486069503121 12.3690904808 -2.8380748559 0.0673445751737 0.904794431069 0.0673368808635 0.904802125379
B4 1.36649894132 -1.33582559002 0.438387981087 12.5700337983 -2.87324051768 0.166734334814 0.71004162736 0.166729343022 0.710046619151
